SUC DESTINO;SKU;# TRANSF;DESCRIPTION;FECHA;SHIP;SHIP.1
IÑAQUITO;73353;1513238;TIPS MULTIUSOS BAÑO C/CLORO 500ML.;31/3/2026;12;1,00
IÑAQUITO;183955010;1513238;APIKAI MAIZ CON CEBOLLA 250G;31/3/2026;10;1,00
IÑAQUITO;182804931;1513238;NAPPIS PAÑALES  TOTAL SEC XXG X 64 UN;31/3/2026;4;1,00
IÑAQUITO;73349;1513238;TIPS LIMPIA VIDRIOS VINAGRE PISTOLA 500 ML.;31/3/2026;12;1,00
IÑAQUITO;44469;1513238;LIRA ALCOHOL GENERICO 1 LT.;31/3/2026;12;1,00
IÑAQUITO;33068;1513238;SANTA LUCIA HARINA SIN POLVO DE HORNEAR 1 KG;31/3/2026;15;1,00
IÑAQUITO;152602983;1513238;NOSOTRAS JABON INTIMO VINAGRE MANZANA 200 ML;31/3/2026;10;1,00
IÑAQUITO;180005895;1513238;CLORO BLANQUEADOR ORIGINAL CLOROX 160GR;31/3/2026;90;1,00
IÑAQUITO;152053785;1513238;PACK X 2 ESTRELLA ESPONJA MIXTA 2X1;31/3/2026;25;0,25
IÑAQUITO;104400084;1513238;EL SABOR PASTA DE TOMATE DOY PACK 150 GR;31/3/2026;24;1,00
IÑAQUITO;33222;1513238;CHOCO BREAK CHOCOLATE RELLENO LIQUIDO;31/3/2026;18;1,00
IÑAQUITO;131801300;1513238;DEJA POLVO LIMON C/BICARBONATO 1.2KG;31/3/2026;10;1,00
IÑAQUITO;100247;1513238;RICO TALCO DESODORANTE COOLMINT SPRAY 200 ML.;31/3/2026;12;1,00
IÑAQUITO;207354973;1513238;CICLON DETERGENTE LIQUIDO DOYPACK ELIMINA OLORES 1.8 LT;31/3/2026;10;1,00
IÑAQUITO;34817;1513238;VAN CAMPS ATUN 3PACK EN ACEITE 80GR C/U.;31/3/2026;32;2,00
IÑAQUITO;207404934;1513238;AXION LAVAVAJILLA CREMA BICARBONATO BLUE 450 GR;31/3/2026;24;1,00
IÑAQUITO;59947;1513238;REXONA DESODORANTE BARRA CLINICAL MEN 58 GR.;31/3/2026;12;1,00
IÑAQUITO;132901741;1513238;ISABELLA RINSE CON ACEITE DE ARGAN DOY PACK;31/3/2026;12;1,00
IÑAQUITO;97669;1513238;CONDIMENSA COMINO MOLIDO FUNDA 100 GR.;31/3/2026;25;1,00
IÑAQUITO;104501;1513238;AXION LAVAVAJILLA LIQUIDO LIMON 750 ML;31/3/2026;24;2,00
IÑAQUITO;111900263;1513238;DANEC MARGARINA INDUSTRIAL VEGETAL 1 LIBRA;31/3/2026;80;4,00
IÑAQUITO;90576;1513238;OLE SALSA TERIYAKI 300 GR.;31/3/2026;12;1,00
IÑAQUITO;204154925;1513238;CHEETOS BOCADITOS DE MAIZ MEGA QUESO 42GR;31/3/2026;28;1,00
IÑAQUITO;31063;1513238;CHERRY BETUN LIQUIDO NEGRO 60 ML.;31/3/2026;12;1,00
IÑAQUITO;60679;1513238;PARA MI BEBE TALCO MANZANILLA 100 GR.;31/3/2026;12;1,00
IÑAQUITO;102949;1513238;ELITE PAPEL HIGIENICO SOFT&STRONG MEGA 32 M X 4 UNI;31/3/2026;20;2,00
IÑAQUITO;181954929;1513238;PODEROX QUITAMANCHAS LÍQUIDO 500ML.;31/3/2026;24;1,00
IÑAQUITO;135503174;1513238;CONDIMENSA VINAGRE DE MANZANA 1 LT;31/3/2026;12;1,00
IÑAQUITO;120401247;1513238;BIG GASEOSA SABOR A MANZANA PET 300 ML;31/3/2026;24;1,00
IÑAQUITO;50182;1513238;MEDALLA DE ORO HARINA 9 KG.;31/3/2026;3;3,00
IÑAQUITO;46375;1513238;CARICIA BROCHETAS FESTIVAL 15CM X 100 UN.;31/3/2026;25;1,00
IÑAQUITO;172205820;1513238;RUFFLES PAPAS LIMON TWIST 136G;31/3/2026;21;1,00
IÑAQUITO;36990;1513238;MAGGI MOSTAZA DOY PACK 500 GR.;31/3/2026;24;1,00
IÑAQUITO;175554275;1513238;SAPOLIO AMBIENTADOR AROMA ANTITABACO 360 ML;31/3/2026;12;1,00
IÑAQUITO;33130;1513238;SAN CARLOS AZUCAR BLANCA 5 KG.;31/3/2026;6;1,00
IÑAQUITO;135153047;1513238;TRU LECHE SEMIDESCREMADA 1LT;31/3/2026;24;2,00
IÑAQUITO;97664;1513238;BIANCHI CARAMELO CHOCOLATE BLANCO 400 GR.;31/3/2026;18;1,00
IÑAQUITO;32612;1513238;VAN CAMPS ATUN EN ACEITE ABRE FACIL 184 GR.;31/3/2026;96;2,00
IÑAQUITO;117001795;1513238;HUGGIES TOALLAS HUMEDAS MEGA PROMO 3 X 96UND C/U;31/3/2026;6;1,00
IÑAQUITO;129651200;1513238;NIVEA DEO SPRAY SATIN 150ML 2DO 50% DTO.;31/3/2026;6;1,00
IÑAQUITO;97679;1513238;CONDIMENSA LAUREL HOJA FUNDA 15 GR.;31/3/2026;25;1,00
IÑAQUITO;27227;1513238;SABORA AJO FUNDA 50 GR.;31/3/2026;12;0,08
